	body.size.female	biomass.female	body.size.male	biomass.male	forest.affinity	hunting.mode	family	shading	moisture	dispersal	RL D	Bestand
Walckenaeria atrotibialis	2,6	2,345578227	2,2	1,494946854	w	Other hunters	Linyphiidae	0,46	0,32	1	*	sh
Walckenaeria dysderoides	2,05	1,235750974	1,85	0,936959007	mm	Other hunters	Linyphiidae	0,58	0,4	1	*	sh
Walckenaeria nudipalpis	3,2	4,105824521	2,675	2,532511328	mo	Other hunters	Linyphiidae	0,34	0,23	1	*	sh
Walckenaeria vigilax	2,475	2,053772773	2,1	1,31871136	mo	Other hunters	Linyphiidae	0,18	0,28	1	*	sh
Xerolycosa nemoralis	6,25	24,9642801	5,1	14,42786789	wl	Ground hunters	Lycosidae	0,44	0,55	0	*	sh
Xysticus bifasciatus	7,9	46,9534839	6,15	23,90183094	o	Ambush hunters	Thomisidae	0,27	0,61	0	*	sh
Xysticus cristatus	6,35	26,05596145	4,8	12,25206616	mo	Ambush hunters	Thomisidae	0,24	0,42	1	*	sh
Xysticus kochi	8,4	55,40287053	4,7	11,57591443	o	Ambush hunters	Thomisidae	0,2	0,42	1	*	sh
Zelotes latreillei	7,4	39,36435231	6	22,36225287	mo	Ground hunters	Gnaphosidae	0,26	0,5	1	*	sh
Zelotes petrensis	6	22,36225287	5,5	17,68573993	mo	Ground hunters	Gnaphosidae	0,34	0,72	0	*	sh
Zelotes subterraneus	7,5	40,81518553	5,8	20,4087337	w	Ground hunters	Gnaphosidae	0,53	0,45	0	*	sh
Zodarion italicum	3,2	4,105824521	2,25	1,588334553	o	Specialists	Zodariidae	NA	NA	0	*	mh
Zora spinimana	6,35	26,05596145	4,75	11,91097192	mm	Other hunters	Miturgidae	0,43	0,39	1	*	sh
